rxn_id,reaction
1377,CCOP(=O)(OCC)[CH2:1][C:2]([O:3][CH2:4][CH3:5])=[O:6].O=[CH:7][CH:8]([O:9][CH3:10])[O:11][CH3:12]>>[CH:1](\[C:2]([O:3][CH2:4][CH3:5])=[O:6])=[CH:7]/[CH:8]([O:9][CH3:10])[O:11][CH3:12]
1378,Cl[C:1](=[O:2])[c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH3:9][c:10]1[nH:11][c:12]2[cH:13][cH:14][c:15]([O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[cH:21][c:22]2[c:23]1[CH2:24][CH2:25][N:26]1[CH2:27][CH2:28][CH2:29][CH2:30][CH:31]1[CH2:32][CH:33]1[CH2:34][CH2:35][CH2:36][CH2:37][CH2:38]1>>[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[n:11]1[c:10]([CH3:9])[c:23]([CH2:24][CH2:25][N:26]2[CH2:27][CH2:28][CH2:29][CH2:30][CH:31]2[CH2:32][CH:33]2[CH2:34][CH2:35][CH2:36][CH2:37][CH2:38]2)[c:22]2[c:12]1[cH:13][cH:14][c:15]([O:16][C:17]([CH3:18])([CH3:19])[CH3:20])[cH:21]2
1379,Cl[C:1](=[O:2])[c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1.[CH3:9][c:10]1[n:11][c:12]2[cH:13][cH:14][cH:15][cH:16][c:17]2[n:18]1[CH:19]1[CH2:20][CH:21]2[CH2:22][CH2:23][CH:24]([CH2:25]1)[N:26]2[CH2:27][CH2:28][C:29]1([c:30]2[cH:31][cH:32][cH:33][cH:34][cH:35]2)[CH2:36][CH2:37][NH:38][CH2:39][CH2:40]1>>[C:1](=[O:2])([c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[N:38]1[CH2:37][CH2:36][C:29]([CH2:28][CH2:27][N:26]2[C@H:21]3[CH2:20][CH:19]([n:18]4[c:10]([CH3:9])[n:11][c:12]5[cH:13][cH:14][cH:15][cH:16][c:17]45)[CH2:25][C@@H:24]2[CH2:23][CH2:22]3)([c:30]2[cH:31][cH:32][cH:33][cH:34][cH:35]2)[CH2:40][CH2:39]1
1380,Br[CH2:1][c:2]1[cH:3][cH:4][c:5]([C:6]#[N:7])[cH:8][cH:9]1.[CH3:10][N:11]1[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]1>>[CH2:1]([c:2]1[cH:3][cH:4][c:5]([C:6]#[N:7])[cH:8][cH:9]1)[N:14]1[CH2:13][CH2:12][N:11]([CH3:10])[CH2:16][CH2:15]1
1381,Br[CH2:1][CH2:2][CH2:3][CH2:4][O:5][N+:6](=[O:7])[O-:8].[CH3:9][O:10][c:11]1[cH:12][c:13](/[CH:14]=[CH:15]/[C:16](=[O:17])[O-:18])[cH:19][cH:20][c:21]1[OH:22]>>[CH2:1]([CH2:2][CH2:3][CH2:4][O:5][N+:6](=[O:7])[O-:8])[O:18][C:16](/[CH:15]=[CH:14]/[c:13]1[cH:12][c:11]([O:10][CH3:9])[c:21]([OH:22])[cH:20][cH:19]1)=[O:17]
1382,O[C:1]([CH:2]1[CH2:3][CH2:4][N:5]([c:6]2[c:7]([C:8]#[N:9])[cH:10][c:11]([C:12]([O:13][CH2:14][CH3:15])=[O:16])[c:17]([CH2:18][N:19]3[CH2:20][CH2:21][CH2:22][C:23]3=[O:24])[n:25]2)[CH2:26][CH2:27]1)=[O:28].[CH3:29][N:30]([c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1)[S:37]([NH2:38])(=[O:39])=[O:40]>>[C:1]([CH:2]1[CH2:3][CH2:4][N:5]([c:6]2[c:7]([C:8]#[N:9])[cH:10][c:11]([C:12]([O:13][CH2:14][CH3:15])=[O:16])[c:17]([CH2:18][N:19]3[CH2:20][CH2:21][CH2:22][C:23]3=[O:24])[n:25]2)[CH2:26][CH2:27]1)(=[O:28])[NH:38][S:37]([N:30]([CH3:29])[c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1)(=[O:39])=[O:40]
1383,CC(C)(C)OC(=O)[NH:1][c:2]1[cH:3][cH:4][n:5]2[n:6][c:7]([N:8]3[CH2:9][CH2:10][CH2:11][CH2:12]3)[n:13][c:14]2[cH:15]1>>[NH2:1][c:2]1[cH:3][cH:4][n:5]2[n:6][c:7]([N:8]3[CH2:9][CH2:10][CH2:11][CH2:12]3)[n:13][c:14]2[cH:15]1
1384,Br[CH2:1][CH2:2][C:3]([F:4])([F:5])[F:6].[N:7]#[C:8][C:9]1([CH2:10][O:11][c:12]2[cH:13][n:14][cH:15][c:16](-[c:17]3[cH:18][c:19]([NH:20][C@H:21]4[CH2:22][CH2:23][C@H:24]([NH2:25])[CH2:26][CH2:27]4)[n:28][cH:29][c:30]3[Cl:31])[n:32]2)[CH2:33][CH2:34][O:35][CH2:36][CH2:37]1>>[CH2:1]([CH2:2][C:3]([F:4])([F:5])[F:6])[NH:25][C@H:24]1[CH2:23][CH2:22][C@H:21]([NH:20][c:19]2[cH:18][c:17](-[c:16]3[cH:15][n:14][cH:13][c:12]([O:11][CH2:10][C:9]4([C:8]#[N:7])[CH2:33][CH2:34][O:35][CH2:36][CH2:37]4)[n:32]3)[c:30]([Cl:31])[cH:29][n:28]2)[CH2:27][CH2:26]1
1385,Cl[C:1]([O:2][CH2:3][O:4][C:5]([CH2:6][CH3:7])=[O:8])=[O:9].[O:10]=[N+:11]([O-:12])[c:13]1[cH:14][cH:15][c:16]([OH:17])[cH:18][cH:19]1>>[C:1]([O:2][CH2:3][O:4][C:5]([CH2:6][CH3:7])=[O:8])(=[O:9])[O:17][c:16]1[cH:15][cH:14][c:13]([N+:11](=[O:10])[O-:12])[cH:19][cH:18]1
1387,Cl[CH2:1][c:2]1[cH:8][cH:7][c:5]([CH3:6])[cH:4][cH:3]1.[cH:9]1[cH:56][cH:55][c:12]([CH2:13][O:14][CH2:15][C@H:16]2[O:17][C@@H:18]([c:19]3[cH:20][cH:21][c:22]4[cH:23][cH:24][nH:25][c:26]4[cH:27]3)[C@H:28]([O:29][CH2:30][c:31]3[cH:36][cH:35][cH:34][cH:33][cH:32]3)[C@@H:37]([O:38][CH2:39][c:40]3[cH:41][cH:42][cH:43][cH:44][cH:45]3)[C@@H:46]2[O:47][CH2:48][c:49]2[cH:50][cH:51][cH:52][cH:53][cH:54]2)[cH:11][cH:10]1>>[CH2:1]([c:2]1[cH:3][cH:4][c:5]([CH3:6])[cH:7][cH:8]1)[n:25]1[cH:24][cH:23][c:22]2[cH:21][cH:20][c:19]([C@@H:18]3[O:17][C@H:16]([CH2:15][O:14][CH2:13][c:12]4[cH:11][cH:10][cH:9][cH:56][cH:55]4)[C@@H:46]([O:47][CH2:48][c:49]4[cH:50][cH:51][cH:52][cH:53][cH:54]4)[C@H:37]([O:38][CH2:39][c:40]4[cH:41][cH:42][cH:43][cH:44][cH:45]4)[C@H:28]3[O:29][CH2:30][c:31]3[cH:32][cH:33][cH:34][cH:35][cH:36]3)[cH:27][c:26]12
1388,Cl[S:1]([CH3:2])(=[O:3])=[O:4].[CH3:5][CH2:6][NH:7][C:8](=[O:9])[NH:10][c:11]1[cH:12][c:13]([CH2:14][OH:15])[c:16](-[c:17]2[cH:18][n:19][cH:20][c:21](-[c:22]3[n:23][nH:24][c:25](=[O:26])[o:27]3)[cH:28]2)[cH:29][n:30]1>>[S:1]([CH3:2])(=[O:3])(=[O:4])[O:15][CH2:14][c:13]1[cH:12][c:11]([NH:10][C:8]([NH:7][CH2:6][CH3:5])=[O:9])[n:30][cH:29][c:16]1-[c:17]1[cH:18][n:19][cH:20][c:21](-[c:22]2[n:23][nH:24][c:25](=[O:26])[o:27]2)[cH:28]1
1389,CC(C)(C)[Si](C)(C)[O:1][CH2:2][CH2:3][n:4]1[n:5][cH:6][c:7](-[c:8]2[n:9][c:10]([NH:11][c:12]3[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][cH:20][n:21]3)[cH:22][c:23]([CH3:24])[cH:25]2)[cH:26]1>>[OH:1][CH2:2][CH2:3][n:4]1[n:5][cH:6][c:7](-[c:8]2[n:9][c:10]([NH:11][c:12]3[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[cH:19][cH:20][n:21]3)[cH:22][c:23]([CH3:24])[cH:25]2)[cH:26]1
1390,CN(C)[CH:1]=[O:2].[CH3:3][O:4][c:5]1[cH:6][cH:7][cH:8][c:9]2[c:10]1[O:11][CH2:12][CH2:13]2>>[CH:1](=[O:2])[c:7]1[cH:6][c:5]([O:4][CH3:3])[c:10]2[c:9]([cH:8]1)[CH2:13][CH2:12][O:11]2
1391,[CH3:1][N:2]=[C:3]=[O:4].[F:5][c:6]1[c:7]([F:8])[c:9]([F:10])[c:11]([O:12][C:13]2([c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[CH2:20][CH2:21][NH:22][CH2:23][CH2:24]2)[c:25]([F:26])[c:27]1[F:28]>>[CH3:1][NH:2][C:3](=[O:4])[N:22]1[CH2:21][CH2:20][C:13]([O:12][c:11]2[c:9]([F:10])[c:7]([F:8])[c:6]([F:5])[c:27]([F:28])[c:25]2[F:26])([c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[CH2:24][CH2:23]1
1392,CC(C)(C)OC(=O)[N:1]1[CH2:2][CH2:3][C@H:4]1[CH2:5][O:6][c:7]1[cH:8][cH:9][c:10]([Cl:11])[n:12][n:13]1>>[NH:1]1[CH2:2][CH2:3][C@H:4]1[CH2:5][O:6][c:7]1[cH:8][cH:9][c:10]([Cl:11])[n:12][n:13]1
1393,Cl[C:1]([CH2:2][CH2:3][CH3:4])=[O:5].[NH2:6][c:7]1[n:8][nH:9][c:10]2[c:11]([F:12])[c:13]([Br:14])[c:15]([F:16])[c:17]([F:18])[c:19]12>>[C:1]([CH2:2][CH2:3][CH3:4])(=[O:5])[NH:6][c:7]1[n:8][nH:9][c:10]2[c:11]([F:12])[c:13]([Br:14])[c:15]([F:16])[c:17]([F:18])[c:19]12
1394,O=[C:1]1[c:2]2[c:3]([C:4]([O:5][CH2:6][CH3:7])=[O:8])[cH:9][c:10]3[c:11]([n:12][c:13]([CH3:14])[n:15]3[CH3:16])[c:17]2[NH:18][C:19]2([CH2:20]1)[CH2:28][c:27]1[cH:26][cH:25][cH:24][cH:23][c:22]1[CH2:21]2>>[CH2:1]1[c:2]2[c:3]([C:4]([O:5][CH2:6][CH3:7])=[O:8])[cH:9][c:10]3[c:11]([n:12][c:13]([CH3:14])[n:15]3[CH3:16])[c:17]2[NH:18][C:19]2([CH2:20]1)[CH2:21][c:22]1[cH:23][cH:24][cH:25][cH:26][c:27]1[CH2:28]2
1395,O[C:1]([c:2]1[s:3][c:4]2[n:5][n:6][c:7]([CH3:8])[c:9]([CH3:10])[c:11]2[c:12]1[NH2:13])=[O:14].[NH2:15][CH2:16][c:17]1[cH:18][cH:19][c:20]([O:21][CH2:22][F:23])[cH:24][cH:25]1>>[C:1]([c:2]1[s:3][c:4]2[n:5][n:6][c:7]([CH3:8])[c:9]([CH3:10])[c:11]2[c:12]1[NH2:13])(=[O:14])[NH:15][CH2:16][c:17]1[cH:18][cH:19][c:20]([O:21][CH2:22][F:23])[cH:24][cH:25]1
1396,[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[n:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([NH2:13])[cH:14][cH:15]2)[n:16][c:17]([N:18]2[CH2:19][CH2:20][O:21][CH2:22][CH2:23]2)[c:24]1[O:25][CH2:26][CH3:27].[O:28]=[C:29]=[N:30][c:31]1[cH:32][cH:33][cH:34][cH:35][cH:36]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[c:6]1[n:7][c:8](-[c:9]2[cH:10][cH:11][c:12]([NH:13][C:29](=[O:28])[NH:30][c:31]3[cH:32][cH:33][cH:34][cH:35][cH:36]3)[cH:14][cH:15]2)[n:16][c:17]([N:18]2[CH2:19][CH2:20][O:21][CH2:22][CH2:23]2)[c:24]1[O:25][CH2:26][CH3:27]
1397,CCO[C:1](=[O:2])[c:3]1[cH:4][c:5]2[cH:6][cH:7][n:8]([CH2:9][c:10]3[cH:11][cH:12][c:13]([F:14])[cH:15][cH:16]3)[c:17]2[cH:18][n:19]1.[NH2:20][OH:21]>>[C:1](=[O:2])([c:3]1[cH:4][c:5]2[cH:6][cH:7][n:8]([CH2:9][c:10]3[cH:11][cH:12][c:13]([F:14])[cH:15][cH:16]3)[c:17]2[cH:18][n:19]1)[NH:20][OH:21]
1398,O=[CH:1][c:2]1[cH:3][nH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]12.[CH3:11][CH2:12][NH:13][C:14]1=[C:15]([C:16](=[O:17])[O:18][CH2:19][CH3:20])[C:21](=[O:22])[CH2:23][O:24]1>>[CH:1]([c:2]1[cH:3][nH:4][c:5]2[n:6][cH:7][cH:8][cH:9][c:10]12)=[C:23]1[C:21](=[O:22])[C:15]([C:16](=[O:17])[O:18][CH2:19][CH3:20])=[C:14]([NH:13][CH2:12][CH3:11])[O:24]1
1399,O[C:1](=[O:2])[c:3]1[cH:4][n:5][cH:6][c:7]([CH2:8][CH2:9][c:10]2[cH:15][cH:14][cH:13][cH:12][cH:11]2)[cH:16]1.[N:17]#[C:18][C:19]1([c:20]2[cH:21][cH:22][cH:23][c:24]([CH2:25][NH:26][C:27](=[O:28])[O:29][CH2:30][c:31]3[cH:32][cH:33][cH:34][cH:35][cH:36]3)[cH:37]2)[CH2:42][CH2:41][NH:40][CH2:39][CH2:38]1>>[C:1](=[O:2])([c:3]1[cH:4][n:5][cH:6][c:7]([CH2:8][CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16]1)[N:40]1[CH2:39][CH2:38][C:19]([C:18]#[N:17])([c:20]2[cH:21][cH:22][cH:23][c:24]([CH2:25][NH:26][C:27](=[O:28])[O:29][CH2:30][c:31]3[cH:32][cH:33][cH:34][cH:35][cH:36]3)[cH:37]2)[CH2:42][CH2:41]1
1401,CC(=O)[NH:1][CH2:2][c:3]1[cH:4][c:5]([N:6]2[CH2:18][CH2:17][N:9]([C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[CH2:8][CH2:7]2)[cH:19][cH:20][c:21]1[NH2:22]>>[NH2:1][CH2:2][c:3]1[cH:4][c:5]([N:6]2[CH2:7][CH2:8][N:9]([C:10](=[O:11])[O:12][C:13]([CH3:14])([CH3:15])[CH3:16])[CH2:17][CH2:18]2)[cH:19][cH:20][c:21]1[NH2:22]
1402,O=C(c1ccccc1)[NH:1][C:2]1=[N:3][C@@:4]([c:5]2[c:6]([F:7])[cH:8][cH:9][c:10]([NH:11][C:12]([c:13]3[c:14]([CH3:15])[cH:16][c:17]([Cl:18])[cH:19][n:20]3)=[O:21])[cH:22]2)([CH3:23])[CH2:24][C@@H:25]([C:26]([F:27])([F:28])[F:29])[O:30]1>>[NH2:1][C:2]1=[N:3][C:4]([c:5]2[c:6]([F:7])[cH:8][cH:9][c:10]([NH:11][C:12]([c:13]3[c:14]([CH3:15])[cH:16][c:17]([Cl:18])[cH:19][n:20]3)=[O:21])[cH:22]2)([CH3:23])[CH2:24][CH:25]([C:26]([F:27])([F:28])[F:29])[O:30]1
1403,[N-]=[N+]=[N:1][c:2]1[cH:3][c:4]([O:5][c:6]2[cH:7][cH:8][c:9]([NH:10][C:11](=[O:12])[NH:13][c:14]3[cH:15][c:16]([CH2:17][N:18]4[CH2:19][CH2:20][CH2:21]4)[cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28]3)[cH:29][cH:30]2)[n:31][cH:32][n:33]1>>[NH2:1][c:2]1[cH:3][c:4]([O:5][c:6]2[cH:7][cH:8][c:9]([NH:10][C:11](=[O:12])[NH:13][c:14]3[cH:15][c:16]([CH2:17][N:18]4[CH2:19][CH2:20][CH2:21]4)[cH:22][c:23]([C:24]([F:25])([F:26])[F:27])[cH:28]3)[cH:29][cH:30]2)[n:31][cH:32][n:33]1
1404,[N-]=[N+]=[N:1][CH2:2][CH:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][c:14]([F:15])[cH:16]3)[c:17]2[O:18]1>>[NH2:1][CH2:2][CH:3]1[CH2:4][c:5]2[cH:6][cH:7][cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][c:14]([F:15])[cH:16]3)[c:17]2[O:18]1
1405,Br[CH2:1][CH2:2][O:3][Si:4]([C:5]([CH3:6])([CH3:7])[CH3:8])([CH3:9])[CH3:10].[CH3:11][C:12]1([CH3:13])[O:14][B:15]([c:16]2[cH:17][n:18][n:19]([CH:20]3[CH2:21][CH2:22][NH:23][CH2:24][CH2:25]3)[cH:26]2)[O:27][C:28]1([CH3:29])[CH3:30]>>[CH2:1]([CH2:2][O:3][Si:4]([C:5]([CH3:6])([CH3:7])[CH3:8])([CH3:9])[CH3:10])[N:23]1[CH2:22][CH2:21][CH:20]([n:19]2[n:18][cH:17][c:16]([B:15]3[O:14][C:12]([CH3:11])([CH3:13])[C:28]([CH3:29])([CH3:30])[O:27]3)[cH:26]2)[CH2:25][CH2:24]1
1407,O=[C:1]1[CH2:2][CH2:3][CH:4]([CH3:5])[CH2:6][CH:7]1[CH2:8][C:9](=O)[c:10]1[cH:11][cH:12][cH:13][cH:14][cH:15]1.[CH3:16][CH2:17][N:18]([CH2:19][CH3:20])[CH2:21][CH2:22][NH2:23]>>[c:1]12[c:7]([cH:8][c:9](-[c:10]3[cH:11][cH:12][cH:13][cH:14][cH:15]3)[n:23]1[CH2:22][CH2:21][N:18]([CH2:17][CH3:16])[CH2:19][CH3:20])[CH2:6][CH:4]([CH3:5])[CH2:3][CH2:2]2
1408,Cl[C:1](=[O:2])[CH:3]1[CH2:4][CH2:5]1.[CH3:6][NH:7][CH2:8][CH2:9][N:10]([CH3:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][c:17]2[c:18]([cH:19]1)[c:20]1[c:21]([n:22]2[CH3:23])[CH2:24][CH2:25][CH:26]([CH:27]2[CH2:28][CH2:29][O:30][CH2:31][CH2:32]2)[CH2:33]1>>[C:1](=[O:2])([CH:3]1[CH2:4][CH2:5]1)[N:7]([CH3:6])[CH2:8][CH2:9][N:10]([CH3:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][c:17]2[c:18]([cH:19]1)[c:20]1[c:21]([n:22]2[CH3:23])[CH2:24][CH2:25][CH:26]([CH:27]2[CH2:28][CH2:29][O:30][CH2:31][CH2:32]2)[CH2:33]1
1409,Cl[C:1](=[O:2])[N:3]1[CH2:4][CH2:5][O:6][CH2:7][CH2:8]1.[CH3:9][O:10][c:11]1[cH:12][c:13]([CH2:14][CH:15]2[c:16]3[cH:17][c:18]([O:19][CH3:20])[c:21]([O:22][CH3:23])[cH:24][c:25]3[CH2:26][CH2:27][N:28]2[CH2:29][C:30](=[O:31])[NH:32][CH2:33][c:34]2[cH:35][cH:36][cH:37][cH:38][cH:39]2)[cH:40][cH:41][c:42]1[OH:43]>>[C:1](=[O:2])([N:3]1[CH2:4][CH2:5][O:6][CH2:7][CH2:8]1)[O:43][c:42]1[c:11]([O:10][CH3:9])[cH:12][c:13]([CH2:14][CH:15]2[c:16]3[cH:17][c:18]([O:19][CH3:20])[c:21]([O:22][CH3:23])[cH:24][c:25]3[CH2:26][CH2:27][N:28]2[CH2:29][C:30](=[O:31])[NH:32][CH2:33][c:34]2[cH:35][cH:36][cH:37][cH:38][cH:39]2)[cH:40][cH:41]1
1410,O=[C:1]1[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][S:7](=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH2:15][CH2:16]1.[NH2:17][OH:18]>>[C:1]1(=[N:17][OH:18])[CH2:2][CH2:3][N:4]([CH2:5][CH2:6][S:7](=[O:8])[c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[CH2:15][CH2:16]1
1411,Br[CH2:1][c:2]1[cH:3][s:4][c:5]2[cH:6][cH:7][c:8]([Cl:9])[cH:10][c:11]12.[CH3:12][CH2:13][O:14][C:15](=[O:16])[c:17]1[s:18][c:19]([N:20]2[CH2:21][CH2:22][NH:23][C:24]2=[O:25])[n:26][c:27]1[CH3:28]>>[CH2:1]([c:2]1[cH:3][s:4][c:5]2[cH:6][cH:7][c:8]([Cl:9])[cH:10][c:11]12)[N:23]1[CH2:22][CH2:21][N:20]([c:19]2[s:18][c:17]([C:15]([O:14][CH2:13][CH3:12])=[O:16])[c:27]([CH3:28])[n:26]2)[C:24]1=[O:25]
1412,O[C:1](=[O:2])[CH2:3][c:4]1[cH:5][cH:6][c:7]([O:8][CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][c:17]1[O:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1.[cH:26]1[cH:38][cH:37][c:29]([CH2:30][N:31]2[CH2:36][CH2:35][NH:34][CH2:33][CH2:32]2)[cH:28][cH:27]1>>[C:1](=[O:2])([CH2:3][c:4]1[cH:5][cH:6][c:7]([O:8][CH2:9][c:10]2[cH:11][cH:12][cH:13][cH:14][cH:15]2)[cH:16][c:17]1[O:18][CH2:19][c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1)[N:34]1[CH2:33][CH2:32][N:31]([CH2:30][c:29]2[cH:28][cH:27][cH:26][cH:38][cH:37]2)[CH2:36][CH2:35]1
1413,Cl[C:1](=[O:2])[O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1.[NH2:11][c:12]1[cH:13][cH:14][cH:15][nH:16][c:17]1=[O:18]>>[C:1](=[O:2])([O:3][CH2:4][c:5]1[cH:6][cH:7][cH:8][cH:9][cH:10]1)[NH:11][c:12]1[cH:13][cH:14][cH:15][nH:16][c:17]1=[O:18]
1414,O=[CH:1][c:2]1[cH:3][n:4]([CH3:5])[n:6][cH:7]1.[CH3:8][CH2:9][NH2:10]>>[CH2:1]([c:2]1[cH:3][n:4]([CH3:5])[n:6][cH:7]1)[NH:10][CH2:9][CH3:8]
1416,[OH:1][c:2]1[cH:3][cH:4][c:5]([CH:6]2[CH2:7][CH2:8][N:9]([c:10]3[cH:11][cH:12][c:13]4[n:14][n:15][c:16]([C:17]([F:18])([F:19])[F:20])[n:21]4[n:22]3)[CH2:23][CH2:24]2)[cH:25][cH:26]1>>[OH:1][c:2]1[cH:3][cH:4][c:5]([CH:6]2[CH2:7][CH2:8][N:9]([C:10]3=[N:22][n:21]4[c:13]([n:14][n:15][c:16]4[C:17]([F:18])([F:19])[F:20])[CH2:12][CH2:11]3)[CH2:23][CH2:24]2)[cH:25][cH:26]1
1420,I[CH3:1].[CH3:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][CH2:11][NH:12][C:13](=[O:14])[NH:15][O:16][CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1>>[CH3:1][N:15]([C:13]([NH:12][CH2:11][CH2:10][CH2:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][CH2:3][CH3:2])=[O:14])[O:16][CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1
1421,[N-]=[N+]=[CH2:1].[O:2]=[C:3]([c:4]1[cH:5][cH:6][cH:7][cH:8][cH:9]1)[c:10]1[cH:11][cH:12][c:13]2[n:14]1[CH2:15][CH2:16][CH2:17][CH:18]2[C:19](=[O:20])[OH:21]>>[CH3:1][O:21][C:19]([CH:18]1[c:13]2[cH:12][cH:11][c:10]([C:3](=[O:2])[c:4]3[cH:5][cH:6][cH:7][cH:8][cH:9]3)[n:14]2[CH2:15][CH2:16][CH2:17]1)=[O:20]
1422,Cl[C:1](=[O:2])[O:3][c:4]1[cH:5][cH:6][c:7]([N+:8](=[O:9])[O-:10])[cH:11][cH:12]1.[CH3:13][NH:14][c:15]1[cH:16][cH:17][c:18]([O:19][CH2:20][C:21](=[O:22])[NH:23][C@@H:24]([CH2:25][C:26]([NH2:27])=[O:28])[C:29](=[O:30])[NH:31][C@@H:32]([CH2:33][c:34]2[cH:35][cH:36][cH:37][cH:38][cH:39]2)[C@H:40]([OH:41])[C:42](=[O:43])[N:44]2[CH2:45][CH2:46][CH2:47][C@H:48]2[C:49](=[O:50])[NH:51][C:52]([CH3:53])([CH3:54])[CH3:55])[cH:56][cH:57]1>>[C:1](=[O:2])([O:3][c:4]1[cH:5][cH:6][c:7]([N+:8](=[O:9])[O-:10])[cH:11][cH:12]1)[N:14]([CH3:13])[c:15]1[cH:16][cH:17][c:18]([O:19][CH2:20][C:21](=[O:22])[NH:23][C@@H:24]([CH2:25][C:26]([NH2:27])=[O:28])[C:29](=[O:30])[NH:31][C@@H:32]([CH2:33][c:34]2[cH:35][cH:36][cH:37][cH:38][cH:39]2)[C@H:40]([OH:41])[C:42](=[O:43])[N:44]2[CH2:45][CH2:46][CH2:47][C@H:48]2[C:49](=[O:50])[NH:51][C:52]([CH3:53])([CH3:54])[CH3:55])[cH:56][cH:57]1
1423,[Br:1]C(Br)(Br)Br.O[CH2:2][C:3]([c:4]1[cH:5][n:6][c:7]([O:8][CH2:9][CH2:10][CH2:11][CH3:12])[c:13](-[c:14]2[n:15][c:16]3[c:17]([n:18][n:19]([CH2:20][CH2:21][O:22][CH3:23])[c:24]3[CH2:25][CH3:26])[c:27](=[O:28])[nH:29]2)[cH:30]1)=[O:31]>>[Br:1][CH2:2][C:3]([c:4]1[cH:5][n:6][c:7]([O:8][CH2:9][CH2:10][CH2:11][CH3:12])[c:13](-[c:14]2[n:15][c:16]3[c:17]([n:18][n:19]([CH2:20][CH2:21][O:22][CH3:23])[c:24]3[CH2:25][CH3:26])[c:27](=[O:28])[nH:29]2)[cH:30]1)=[O:31]
1424,I[c:1]1[cH:2][c:3]([F:4])[cH:5][c:6]([C:7]([O:8][CH3:9])=[O:10])[c:11]1-[c:12]1[c:13](I)[cH:14][c:15]([F:16])[cH:17][c:18]1[C:19](=[O:20])[O:21][CH3:22]>>[c:1]12[cH:2][c:3]([F:4])[cH:5][c:6]([C:7]([O:8][CH3:9])=[O:10])[c:11]1-[c:12]1[c:13]-2[cH:14][c:15]([F:16])[cH:17][c:18]1[C:19](=[O:20])[O:21][CH3:22]
1426,CCO[C:1](=[O:2])[NH:3][c:4]1[n:5][c:6]2[cH:7][c:8]([F:9])[cH:10][cH:11][c:12]2[n:13][c:14]1[O:15][CH3:16].[CH3:17][O:18][c:19]1[cH:20][cH:21][cH:22][c:23]([N:24]2[CH2:25][CH2:26][NH:27][CH2:28][CH2:29]2)[cH:30]1>>[C:1](=[O:2])([NH:3][c:4]1[n:5][c:6]2[cH:7][c:8]([F:9])[cH:10][cH:11][c:12]2[n:13][c:14]1[O:15][CH3:16])[N:27]1[CH2:26][CH2:25][N:24]([c:23]2[cH:22][cH:21][cH:20][c:19]([O:18][CH3:17])[cH:30]2)[CH2:29][CH2:28]1
1427,O=[C:1]1[CH2:2][CH:3]([CH:4]([F:5])[F:6])[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[NH:13]1>>[CH2:1]1[CH2:2][CH:3]([CH:4]([F:5])[F:6])[c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]2[NH:13]1
